 Code, Item,Brand,Exp.,MRP ,,Discount Price,Discount Percent,Barcode,Manufactureer,Small Image,Large Image,Short Description,Long Description
I16613,PATAJALI SHISHU CARE MASSAGE OIL 100ML,Patanjali,43374.00,85.00,,,,8904110000000,,,,,
I16613,PATAJALI SHISHU CARE MASSAGE OIL 100ML,Patanjali,43344.00,85.00,,,,8904110000000,,,,,
344956.00,PATAJALI TOMATO KETCHUP (ONION GARLIC),Patanjali,43040.00,70.00,,,,8904110000000,,,,,
I18471,PATANAJALI ROYAL SONAMASORI RICE,Patanjali,43435.00,699.00,,,,8904110000000,,,,,
I18471,PATANAJALI ROYAL SONAMASORI RICE,Patanjali,43466.00,699.00,,,,8904110000000,,,,,
I16614,PATANAJALI SHISHU CARE HAIR OIL 100ML,Patanjali,43800.00,70.00,,,,8904110000000,,,,,
I16614,PATANAJALI SHISHU CARE HAIR CLEANSER100ML,Patanjali,43800.00,80.00,,,,8904110000000,,,,,
I16614,PATANAJALI SHISHU CARE HAIR OIL 100ML,Patanjali,43344.00,70.00,,,,8904110000000,,,,,
,PATANAJALI SHISHU CARE BODY LOTION 100,Patanjali,,85.00,,,,8904110000000,,,,,
I06118,PATANJAJI NARIYAL BISCUITS 100GM,Patanjali,43800.00,10.00,,,,8902350000000,,,,,
I14464,PATANJAJI NARIYAL BISCUITS 300GM,Patanjali,42826.00,30.00,,,,8902350000000,,,,,
I14464,PATANJAJI NARIYAL BISCUITS 300GM,Patanjali,42917.00,30.00,,,,8902350000000,,,,,
I01373,PATANJALI  AQUA FRESH SOAP 75GM,Patanjali,43374.00,24.00,,,,8904110000000,,,,,
I01373,PATANJALI  AQUA FRESH SOAP 75GM,Patanjali,43252.00,24.00,,,,8904110000000,,,,,
II3837,PATANJALI  DALIYA PUSHTAHAR,Patanjali,42856.00,40.00,,,,8904110000000,,,,,
,PATANJALI MADHURAM AGAR KONARK,Patanjali,,20.00,,,,8904110000000,,,,,
,PATANJALI MADHURAM AGAR ALKANANDA,Patanjali,,20.00,,,,8904110000000,,,,,
,PATANJALI MADHURAM AGAR MEDITATION,Patanjali,,20.00,,,,8904110000000,,,,,
,PATANJALI MADHURAM AGAR AMBER,Patanjali,,20.00,,,,8904110000000,,,,,
,PATANJALI MADHURAM AGAR VANGANDHA,Patanjali,,20.00,,,,8904110000000,,,,,
,PATANJALI MADHURAM AGAR OUDH,Patanjali,,20.00,,,,8904110000000,,,,,
,PATANJALI MADHURAM WHITE FLOWER,Patanjali,,20.00,,,,8904110000000,,,,,
,PATANJALI MADHURAM AGAR YAJNASUGNA,Patanjali,,20.00,,,,8904110000000,,,,,
,PATANJALI MADHURAM AGAR ROSE,Patanjali,,20.00,,,,8904110000000,,,,,
,PATANJALI MADHURAM AGAR LAVENDER,Patanjali,,20.00,,,,8904110000000,,,,,
I02204,PATANJALI  SPICES SABZI MASALA 100GM,Patanjali,43040.00,38.00,,,,8904110000000,,,,,
I02204,PATANJALI  SPICES SABZI MASALA 100GM,Patanjali,42979.00,38.00,,,,8904110000000,,,,,
I05325,PATANJALI AATA 5KG,Patanjali,43800.00,170.00,,,,8904110000000,,,,,
I14103,PATANJALI ACTIVE CARE BRUSH,Patanjali,43800.00,20.00,,,,8904110000000,,,,,
I17808,PATANJALI ADVANCE PASTE 50GM,Patanjali,43344.00,50.00,,,,8904110000000,,,,,
I14461,PATANJALI AJOWAN 100GMS,Patanjali,43435.00,38.00,,,,8904110000000,,,,,
II8888,PATANJALI ALMOND HAIR OIL,Patanjali,43374.00,50.00,,,,8904110000000,,,,,
II8868,PATANJALI ALMOND KESAR HAND WASH,Patanjali,42948.00,90.00,,,,8904110000000,,,,,
II8886,PATANJALI ALMOND KESAR KANTI SOAP 75GM,Patanjali,43191.00,19.00,,,,8904110000000,,,,,
92975.00,PATANJALI ALOEVERA GEL 60ML,Patanjali,43221.00,40.00,,,,8904110000000,,,,,
,PATANJALI ALOEVERA GEL 150ML,Patanjali,,80.00,,,,8904110000000,,,,,
I01306,PATANJALI ALOEVERA JUICE PLAIN,Patanjali,42856.00,180.00,,,,8904110000000,,,,,
I15732,PATANJALI ALOEVERA KANTI SOAP 150GM,Patanjali,43374.00,25.00,,,,8904110000000,,,,,
I15732,PATANJALI ALOEVERA KANTI SOAP 150GM,Patanjali,43374.00,25.00,,,,8904110000000,,,,,
344463.00,PATANJALI ALOEVERA MOISTURIZING CREAM,Patanjali,43405.00,75.00,,,,8904110000000,,,,,
I18660,PATANJALI AMLA ALOVERA JUICE WHEAT GRASS,Patanjali,43101.00,100.00,,,,8904110000000,,,,,
I16005,PATANJALI AMLA ALOVERA LITCHI 65ML,Patanjali,42826.00,5.00,,,,8904110000000,,,,,
,PATANJALI AMLA AMRIT 5ML,Patanjali,,5.00,,,,8904110000000,,,,,
III469,PATANJALI AMLA HAIR OIL 100ML,Patanjali,43374.00,40.00,,,,8904110000000,,,,,
I06817,PATANJALI AMLA PICKLE,Patanjali,43040.00,95.00,,,,8904110000000,,,,,
I06817,PATANJALI AMLA PICKLE,Patanjali,43132.00,95.00,,,,8904110000000,,,,,
,PATANJALI AMLA CANDY 500GM,Patanjali,,140.00,,,,8904110000000,,,,,
,PATANJALI AMRIT RASYAN 500 GM,Patanjali,,85.00,,,,8904110000000,,,,,
,PATANJALI AMLA CHATPATA 500GM,Patanjali,,145.00,,,,8904110000000,,,,,
,PATANJALI BEL CANDY 500 GM,Patanjali,,140.00,,,,8904110000000,,,,,
II3848,PATANJALI ANTI BACTIREA HAND WASH REFIL,Patanjali,43344.00,40.00,,,,8904110000000,,,,,
I01423,PATANJALI ANTI WRINK CREAM,Patanjali,43405.00,150.00,,,,8904110000000,,,,,
I14430,PATANJALI APPLE 1LTR,Patanjali,43800.00,85.00,,,,8904110000000,,,,,
I15796,PATANJALI APRICOT FACE SCRUB 60GM,Patanjali,43282.00,60.00,,,,8904110000000,,,,,
I15796,PATANJALI APRICOT FACE SCRUB 60GM,Patanjali,43800.00,60.00,,,,8904110000000,,,,,
17930.00,PATANJALI ARHAR DAL (TUVAR DAL),Patanjali,42917.00,124.00,,,,8904110000000,,,,,
44755.00,PATANJALI ARHAR DAL (TUVAR DAL) 500GM,Patanjali,42887.00,63.00,,,,8904110000000,,,,,
44755.00,PATANJALI ARHAR DAL (TUVAR DAL) 500GM,Patanjali,42887.00,63.00,,,,8904110000000,,,,,
II8874,PATANJALI ARJUN AMLA JUICE 500ML,Patanjali,42948.00,80.00,,,,8904110000000,,,,,
I02206,PATANJALI AROGYA BISCUITS,Patanjali,42917.00,10.00,,,,8902350000000,,,,,
I02137,PATANJALI ASHWAGANDHA CAP,Patanjali,43525.00,5.00,,,,8904110000000,,,,,
III432,PATANJALI ATTA NOODLES CLASSIC 60GM,Patanjali,43800.00,10.00,,,,8904110000000,,,,,
I01316,PATANJALI BADAM PAK 250GM,Patanjali,43647.00,130.00,,,,8904110000000,,,,,
I01316,PATANJALI BADAM PAK 250GM,Patanjali,43739.00,130.00,,,,8904110000000,,,,,
I14392,PATANJALI BADAM PAK 500GM,Patanjali,43647.00,250.00,,,,8904110000000,,,,,
I14392,PATANJALI BADAM PAK 500GM,Patanjali,43739.00,250.00,,,,8904110000000,,,,,
I18625,PATANJALI BADAM ROGAN 150ML,Patanjali,43435.00,365.00,,,,8904050000000,,,,,
I02239,PATANJALI BADAM ROGHAN 60ML,Patanjali,43556.00,150.00,,,,8904050000000,,,,,
II8881,PATANJALI BAL SHAVING CREAM.,Patanjali,43435.00,55.00,,,,8904110000000,,,,,
92045.00,PATANJALI BALM 10GM,Patanjali,43009.00,18.00,,,,8904110000000,,,,,
I01390,PATANJALI BALM 25GM,Patanjali,43435.00,40.00,,,,8904110000000,,,,,
I14080,PATANJALI BANDANI HING,Patanjali,43617.00,20.00,,,,8904110000000,,,,,
I14080,PATANJALI BANDANI HING,Patanjali,43160.00,20.00,,,,8904110000000,,,,,
I14080,PATANJALI BANDANI HING,Patanjali,43101.00,20.00,,,,8904110000000,,,,,
I14147,PATANJALI BANDHANI HING 25GM,Patanjali,43800.00,40.00,,,,8904110000000,,,,,
II8873,PATANJALI BARLEY DALIA,Patanjali,43800.00,30.00,,,,8904110000000,,,,,
I14917,PATANJALI BASMATI DIAMOND RICE 5 KG,Patanjali,43282.00,700.00,,,,8904110000000,,,,,
,PATANJALI 1121 DIAMOND RICE  1KG,Patanjali,,145.00,,,,8904110000000,,,,,
,PATANJALI SHAKTI XXLBASMATI RICE 5KG,Patanjali,,540.00,,,,8904110000000,,,,,
,PATANJALI BASMATI DHANASHREE 1KG,Patanjali,,100.00,,,,8904110000000,,,,,
I05322,PATANJALI BASMATI RICE GOLD 1KG,Patanjali,43800.00,110.00,,,,8904110000000,,,,,
I14504,PATANJALI BASMATI RICE GOLD 5KG,Patanjali,43282.00,510.00,,,,8904110000000,,,,,
,PATANJALI BESAN 500GM,Patanjali,,90.00,,,,8904110000000,,,,,
I01424,PATANJALI BEAUTY CREAM,Patanjali,43466.00,70.00,,,,8904110000000,,,,,
I06115,PATANJALI BODY UBTAN,Patanjali,43009.00,60.00,,,,8904110000000,,,,,
I06115,PATANJALI BODY UBTAN,Patanjali,43800.00,60.00,,,,8904110000000,,,,,
II8864,PATANJALI BORO SAFE CREAM,Patanjali,42917.00,40.00,,,,8904110000000,,,,,
II8864,PATANJALI BORO SAFE CREAM,Patanjali,42856.00,40.00,,,,8904110000000,,,,,
I02120,PATANJALI BRHAMI SHARBAT 750ML,Patanjali,43800.00,100.00,,,,8904110000000,,,,,
108865.00,PATANJALI BURA 1KG,Patanjali,43800.00,65.00,,,,8904110000000,,,,,
