 Code, Item,Brand,Exp.,MRP ,,Discount Price,Discount Percent,Barcode,Manufactureer,Small Image,Large Image,Short Description,Long Description
44755,PATANJALI ARHAR DAL (TUVAR DAL) 500GM,Patanjali,Jun-17,63,,,,8.90411E+12,,,,,
44755,PATANJALI ARHAR DAL (TUVAR DAL) 500GM,Patanjali,Jun-17,63,,,,8.90411E+12,,,,,
II8874,PATANJALI ARJUN AMLA JUICE 500ML,Patanjali,Aug-17,80,,,,8.90411E+12,,,,,
I02206,PATANJALI AROGYA BISCUITS,Patanjali,Jul-17,10,,,,8.90235E+12,,,,,
I02137,PATANJALI ASHWAGANDHA CAP,Patanjali,Mar-19,5,,,,8.90411E+12,,,,,
III432,PATANJALI ATTA NOODLES CLASSIC 60GM,Patanjali,Dec-19,10,,,,8.90411E+12,,,,,
I01316,PATANJALI BADAM PAK 250GM,Patanjali,Jul-19,130,,,,8.90411E+12,,,,,
I01316,PATANJALI BADAM PAK 250GM,Patanjali,Oct-19,130,,,,8.90411E+12,,,,,
I14392,PATANJALI BADAM PAK 500GM,Patanjali,Jul-19,250,,,,8.90411E+12,,,,,
I14392,PATANJALI BADAM PAK 500GM,Patanjali,Oct-19,250,,,,8.90411E+12,,,,,
I18625,PATANJALI BADAM ROGAN 150ML,Patanjali,Dec-18,365,,,,8.90405E+12,,,,,
I02239,PATANJALI BADAM ROGHAN 60ML,Patanjali,Apr-19,150,,,,8.90405E+12,,,,,
II8881,PATANJALI BAL SHAVING CREAM.,Patanjali,Dec-18,55,,,,8.90411E+12,,,,,
92045,PATANJALI BALM 10GM,Patanjali,Oct-17,18,,,,8.90411E+12,,,,,
I01390,PATANJALI BALM 25GM,Patanjali,Dec-18,40,,,,8.90411E+12,,,,,
I14080,PATANJALI BANDANI HING,Patanjali,Jun-19,20,,,,8.90411E+12,,,,,
I14080,PATANJALI BANDANI HING,Patanjali,Mar-18,20,,,,8.90411E+12,,,,,
I14080,PATANJALI BANDANI HING,Patanjali,Jan-18,20,,,,8.90411E+12,,,,,
I14147,PATANJALI BANDHANI HING 25GM,Patanjali,Dec-19,40,,,,8.90411E+12,,,,,
II8873,PATANJALI BARLEY DALIA,Patanjali,Dec-19,30,,,,8.90411E+12,,,,,
I14917,PATANJALI BASMATI DIAMOND RICE 5 KG,Patanjali,Jul-18,700,,,,8.90411E+12,,,,,
II8874,PATANJALI 1121 DIAMOND RICE  1KG,Patanjali,,145,,,,8.90411E+12,,,,,
I14918,PATANJALI SHAKTI XXLBASMATI RICE 5KG,Patanjali,,540,,,,8.90411E+12,,,,,
II8875,PATANJALI BASMATI DHANASHREE 1KG,Patanjali,,100,,,,8.90411E+12,,,,,
I05322,PATANJALI BASMATI RICE GOLD 1KG,Patanjali,Dec-19,110,,,,8.90411E+12,,,,,
I14504,PATANJALI BASMATI RICE GOLD 5KG,Patanjali,Jul-18,510,,,,8.90411E+12,,,,,
I23686,PATANJALI BESAN 500GM,Patanjali,,90,,,,8.90411E+12,,,,,
I01424,PATANJALI BEAUTY CREAM,Patanjali,Jan-19,70,,,,8.90411E+12,,,,,
I06115,PATANJALI BODY UBTAN,Patanjali,Oct-17,60,,,,8.90411E+12,,,,,
I06115,PATANJALI BODY UBTAN,Patanjali,Dec-19,60,,,,8.90411E+12,,,,,
II8864,PATANJALI BORO SAFE CREAM,Patanjali,Jul-17,40,,,,8.90411E+12,,,,,
II8864,PATANJALI BORO SAFE CREAM,Patanjali,May-17,40,,,,8.90411E+12,,,,,
I02120,PATANJALI BRHAMI SHARBAT 750ML,Patanjali,Dec-19,100,,,,8.90411E+12,,,,,
108865,PATANJALI BURA 1KG,Patanjali,Dec-19,65,,,,8.90411E+12,,,,,
I18163,PATANJALI BUTTER COOKIES TIN 400GM,Patanjali,Jul-17,200,,,,8.90411E+12,,,,,
I14727,PATANJALI CHANA DAL 1KG,Patanjali,Dec-19,138,,,,8.90411E+12,,,,,
I14432,PATANJALI CHANA DAL 35GM,Patanjali,Jun-18,10,,,,7.90416E+12,,,,,
CL0363,PATANJALI CHANA DAL 500GM,Patanjali,Dec-19,74,,,,8.90411E+12,,,,,
II3845,PATANJALI CHANA MASALA,Patanjali,Oct-17,45,,,,8.90411E+12,,,,,
I05333,PATANJALI CHAT MASALA,Patanjali,Dec-19,36,,,,8.90411E+12,,,,,
I05333,PATANJALI CHAT MASALA,Patanjali,Oct-17,36,,,,8.90411E+12,,,,,
II8895,PATANJALI CHOCO DELITE BISCUIT,Patanjali,May-17,10,,,,8.90235E+12,,,,,
I17768,PATANJALI CHOCO FLAKES 30GM,Patanjali,Jul-18,10,,,,8.90411E+12,,,,,
I13942,PATANJALI CHOCOFLAKES 125GM,Patanjali,Aug-18,55,,,,8.90411E+12,,,,,
269643,PATANJALI CHYAWANPRASH 1KG,Patanjali,Jun-19,190,,,,8.90411E+12,,,,,
I13943,PATANJALI CHYAWANPRASH  SAFFRON 1KG,Patanjali,,250,,,,8.90602E+12,,,,,
I18371,PATANJALI CLASSIC NOODLES FAMILY PACK,Patanjali,Nov-17,38,,,,8.90411E+12,,,,,
I15749,PATANJALI COCONUT 200GM JAR,Patanjali,Jan-18,62,,,,8.90411E+12,,,,,
III467,PATANJALI COCONUT HAIR WASH 150ML,Patanjali,Jun-19,95,,,,8.90411E+12,,,,,
I05140,PATANJALI COCONUT OIL 200ML,Patanjali,Jan-18,65,,,,8.90411E+12,,,,,
I02126,PATANJALI CORIANDER POWDER,Patanjali,Oct-17,30,,,,8.90411E+12,,,,,
I16441,PATANJALI CORIENDER POWDER 500GM,Patanjali,May-17,115,,,,8.90411E+12,,,,,
II9595,PATANJALI CORN FLAKES MIX 250GM,Patanjali,Jan-17,85,,,,8.90411E+12,,,,,
II9595,PATANJALI CORN FLAKES MIX 250GM,Patanjali,Aug-17,85,,,,8.90411E+12,,,,,
I15020,PATANJALI CORN FLAKES MIX 500GM,Patanjali,Dec-19,145,,,,8.90411E+12,,,,,
I15020,PATANJALI CORN FLAKES MIX 500GM,Patanjali,Dec-19,145,,,,8.90411E+12,,,,,
I06864,PATANJALI COW'S GHEE 1KG,Patanjali,Sep-17,530,,,,8.90411E+12,,,,,
I14485,PATANJALI COW'S GHEE 200GM,Patanjali,Dec-18,125,,,,8.90411E+12,,,,,
III471,PATANJALI COW'S GHEE 500GM,Patanjali,Oct-17,270,,,,8.90411E+12,,,,,
I01324,PATANJALI CRACK HEEL CREAM,Patanjali,Oct-18,60,,,,8.90411E+12,,,,,
I14102,PATANJALI CURVY BRUSH,Patanjali,Dec-21,15,,,,8.90411E+12,,,,,
I14102,PATANJALI CURVY BRUSH,Patanjali,Dec-25,15,,,,8.90411E+12,,,,,
I14102,PATANJALI CURVY BRUSH,Patanjali,Apr-18,15,,,,8.90411E+12,,,,,
132770,PATANJALI DAIRY WHITENER 200GMS,Patanjali,Oct-17,65,,,,8.90411E+12,,,,,
I14155,PATANJALI DANT KANTHI MEDICATED GEL 100G,Patanjali,Apr-18,45,,,,8.90411E+12,,,,,
I14099,PATANJALI DANT KANTI ADVANCE 100GM,Patanjali,Aug-18,90,,,,8.90411E+12,,,,,
I14099,PATANJALI DANT KANTI ADVANCE 50GM,Patanjali,Nov-18,50,,,,8.90411E+12,,,,,
I07454,PATANJALI DANT KANTI JUNIOR PASTE 100GM,Patanjali,Mar-18,35,,,,8.90411E+12,,,,,
I01327,PATANJALI DANT KANTI PASTE 100GMS,Patanjali,Jul-18,40,,,,8.90411E+12,,,,,
I04437,PATANJALI DANT KANTI PASTE 200GM,Patanjali,Feb-20,75,,,,8.90411E+12,,,,,
I14601,PATANJALI DANT KANTI PASTE 25GM,Patanjali,Nov-18,10,,,,8.90411E+12,,,,,
II8892,PATANJALI DETERGENT CAKE ANTI BACTERIA,Patanjali,Oct-19,16,,,,8.90411E+12,,,,,
I14105,PATANJALI DETERGENT CAKE ANTI BACTERIA.,Patanjali,Jun-19,8,,,,8.90411E+12,,,,,
II8893,PATANJALI DETERGENT POWDER 2KG,Patanjali,Nov-19,128,,,,8.90411E+12,,,,,
I16869,PATANJALI DHANSHREE BASMASTI RICE 5KG,Patanjali,Nov-18,490,,,,8.90411E+12,,,,,
I16999,PATANJALI DIGESTIVE WHOLE WHEAT BISCUT,Patanjali,Jul-17,50,,,,8.90235E+12,,,,,
I16999,PATANJALI DIGESTIVE WHOLE WHEAT BISCUT,Patanjali,Dec-18,50,,,,8.90235E+12,,,,,
I02237,PATANJALI DITERGENT POWDER 1KG,Patanjali,Nov-19,65,,,,8.90411E+12,,,,,
I02236,PATANJALI DITERGENT POWDER. 500GM,Patanjali,Oct-19,33,,,,8.90411E+12,,,,,
I17860,PATANJALI DIVYA COUGH DROPS HONEY JAR,Patanjali,Oct-18,1,,,,8.90405E+12,,,,,
I17861,PATANJALI DIVYA COUGH DROPS MINT JAR,Patanjali,Oct-18,1,,,,8.90405E+12,,,,,
I17862,PATANJALI DIVYA COUGH DROPS ORANGE JAR,Patanjali,Oct-18,1,,,,8.90405E+12,,,,,
I14086,PATANJALI DOODH BISCUIT 100GM,Patanjali,Jul-17,10,,,,8.90235E+12,,,,,
I16316,PATANJALI DOODH BISCUT,Patanjali,Aug-17,5,,,,8.90235E+12,,,,,
I01442,PATANJALI DRISHTI EYE DROP,Patanjali,Nov-17,25,,,,8.90411E+12,,,,,
I18470,PATANJALI DUBAR BASMATI RICE,Patanjali,Dec-19,355,,,,8.90411E+12,,,,,
II8897,PATANJALI ELAICHI DELITE BISCUIT,Patanjali,Aug-17,10,,,,8.90235E+12,,,,,
II8897,PATANJALI ELAICHI DELITE BISCUIT,Patanjali,May-18,10,,,,8.90235E+12,,,,,
I14510,PATANJALI ENERGY BAR CHOCO CHIP,Patanjali,Jul-17,30,,,,8.90411E+12,,,,,
I16720,PATANJALI ENERGY BAR CHOCO CHIP RS.15,Patanjali,Dec-19,15,,,,8.90411E+12,,,,,
I16721,PATANJALI ENERGY BAR ORNAGE FEEL RS.15,Patanjali,Dec-19,15,,,,8.90411E+12,,,,,
I16722,PATANJALI ENERGY BAR STRAWBERY RS.15,Patanjali,Dec-19,15,,,,8.90411E+12,,,,,
I16723,PATANJALI BEL MURABBA 1 KG,Patanjali,,110,,,,8.90411E+12,,,,,
I16724,PATANJALI HARAD  MURABBA 1 KG,Patanjali,,150,,,,8.90411E+12,,,,,
I16725,PATANJALI AMLA MURABBA 1 KG,Patanjali,,120,,,,8.90411E+12,,,,,
I05138,PATANJALI GAJAR MURABBA 1 KG,Patanjali,Dec-19,125,,,,8.90411E+12,,,,,
I14503,PATANJALI GAZAR MURABBA 1KG,Patanjali,Dec-19,115,,,,8.90411E+12,,,,,
III463,PATANJALI GILOY AMLA JUICE 500ML,Patanjali,Oct-19,80,,,,8.90411E+12,,,,,
I01398,PATANJALI GILOY GHANVATI,Patanjali,Dec-19,90,,,,8.90411E+12,,,,,
339112,PATANJALI GONYLE FLOOR CLEANER 1LTR,Patanjali,Oct-19,50,,,,8.908E+12,,,,,
339112,PATANJALI GONYLE FLOOR CLEANER 1LTR,Patanjali,Oct-17,48,,,,8.908E+12,,,,,
I14608,PATANJALI GUAVA JAM 500GM,Patanjali,Apr-18,150,,,,8.90411E+12,,,,,
I14462,PATANJALI GUAVA JUICE 65ML,Patanjali,Feb-19,5,,,,8.90411E+12,,,,,
I01332,PATANJALI GULABJAL 120ML,Patanjali,Oct-17,30,,,,8.90405E+12,,,,,
I11798,PATANJALI GULAB SARBATTA 650 ML,Patanjali,,100,,,,8.90411E+12,,,,,
I01336,PATANJALI GULKAND 400GM,Patanjali,Nov-19,55,,,,8.90405E+12,,,,,
I14470,PATANJALI HAIR CONDITI COLOUR PROTECTION,Patanjali,Oct-18,60,,,,8.90411E+12,,,,,
I14470,PATANJALI HAIR CONDITI COLOUR PROTECTION,Patanjali,Sep-18,60,,,,8.90411E+12,,,,,
I14824,PATANJALI HAIR CONDITIONER ALMOND 100GM,Patanjali,Dec-18,60,,,,8.90411E+12,,,,,
I14824,PATANJALI HAIR CONDITIONER ALMOND 100GM,Patanjali,Nov-18,60,,,,8.90411E+12,,,,,
II8884,PATANJALI HAIR CONDITIONER DAMAGE CONT,Patanjali,Oct-18,60,,,,8.90411E+12,,,,,
II8883,PATANJALI HAIR CONDITIONER PROTEIN,Patanjali,Nov-18,60,,,,8.90411E+12,,,,,
I14152,PATANJALI HALDI CHANDAN SOAP 150GM,Patanjali,Nov-17,25,,,,8.90411E+12,,,,,
II8870,PATANJALI HERBAL KAJAL 3GM,Patanjali,Oct-18,90,,,,8.90411E+12,,,,,
II8880,PATANJALI HERBAL LEMON  & ALO FACE  FOAM,Patanjali,Oct-18,60,,,,8.90411E+12,,,,,
I04163,PATANJALI HERBAL MEHANDI 100GM,Patanjali,Dec-22,35,,,,8.90411E+12,,,,,
I18624,PATANJALI HERBAL POWERVITA 200GM,Patanjali,Dec-18,80,,,,8.90411E+12,,,,,
II8866,PATANJALI HERBAL SHAVE GEL 50GM,Patanjali,Jul-18,40,,,,8.90411E+12,,,,,
I14823,PATANJALI HERBAL SUHAG TEEKA,Patanjali,Jun-18,75,,,,8.90411E+12,,,,,
II8869,PATANJALI HONEY 1KG,Patanjali,Dec-19,260,,,,8.90411E+12,,,,,
II8869,PATANJALI HONEY 1KG,Patanjali,Jan-18,260,,,,8.90411E+12,,,,,
I15140,PATANJALI HONEY ORANGE FACE WASH,Patanjali,Sep-18,45,,,,8.90411E+12,,,,,
II8872,PATANJALI JAMUN VINEGAR 500ML,Patanjali,Jul-17,65,,,,8.90411E+12,,,,,
I14085,PATANJALI JEERA BITES 65GM BUSCUIT,Patanjali,Jun-17,10,,,,8.90235E+12,,,,,
I14085,PATANJALI JEERA BITES 65GM BUSCUIT,Patanjali,May-17,10,,,,8.90235E+12,,,,,
I14820,PATANJALI JHATPAT ATTA NOODLES 60GM,Patanjali,Dec-19,10,,,,8.90411E+12,,,,,
I14820,PATANJALI JHATPAT ATTA NOODLES 70GM,Patanjali,Dec-22,15,,,,8.90411E+12,,,,,
II8896,PATANJALI JUNIOR BRUSH,Patanjali,Dec-26,15,,,,8.90411E+12,,,,,
I15801,PATANJALI KABULI CHANA 1KG,Patanjali,Dec-19,162,,,,8.90411E+12,,,,,
I15801,PATANJALI KABULI CHANA 1KG,Patanjali,May-17,162,,,,8.90411E+12,,,,,
I16717,PATANJALI KABULI CHANA 500GM,Patanjali,May-17,84,,,,8.90411E+12,,,,,
I16717,PATANJALI KABULI CHANA 500GM,Patanjali,Dec-19,74,,,,8.90411E+12,,,,,
I15799,PATANJALI KALA CHANA 1KG,Patanjali,Feb-17,134,,,,8.90411E+12,,,,,
141310,PATANJALI KALA CHANNA 500GM,Patanjali,May-17,68,,,,8.90411E+12,,,,,
