 Code, Item, Batch,Exp.,Qty. ,MRP , Eff. Pur Rt. ,Amt MRP,Amt Eff. Pur Rt.,,Barcode,,
I16613,PATAJALI SHISHU CARE MASSAGE OIL 100ML,ML1600050,Oct-18,4,85,58.91,340,235.64,,8904109449819,,
I16613,PATAJALI SHISHU CARE MASSAGE OIL 100ML,MMO3,Sep-18,8,85,58.91,680,471.28,,8904109449819,, 
