 Code, Item,Brand,Exp.,MRP ,,Discount Price,Discount Percent,Barcode,Manufactureer,Small Image,Large Image,Short Description,Long Description
I16613,PATAJALI SHISHU CARE's MASSAGE OIL 100ML,Patanjali,43374,85,,,,8.90411E+12,,,,,
I16613,PATAJALI SHISHU CARE MASSAGE OIL 100ML,Patanjali,43344,85,,,,8.90411E+12,,,,,
344956,PATAJALI TOMATO KETCHUP (ONION GARLIC),Patanjali,43040,70,,,,8.90411E+12,,,,,
I18471,PATANAJALI ROYAL SONAMASORI RICE,Patanjali,43435,699,,,,8.90411E+12,,,,,
I18471,PATANAJALI ROYAL SONAMASORI RICE,Patanjali,43466,699,,,,8.90411E+12,,,,,
I16614,PATANAJALI SHISHU CARE HAIR OIL 100ML,Patanjali,43800,70,,,,8.90411E+12,,,,,
I16614,PATANAJALI SHISHU CARE HAIR CLEANSER100ML,Patanjali,43800,80,,,,8.90411E+12,,,,,
I16614,PATANAJALI SHISHU CARE HAIR OIL 100ML,Patanjali,43344,70,,,,8.90411E+12,,,,,
,PATANAJALI SHISHU CARE BODY LOTION 100,Patanjali,,85,,,,8.90411E+12,,,,,
I06118,PATANJAJI NARIYAL BISCUITS 100GM,Patanjali,43800,10,,,,8.90235E+12,,,,,
I14464,PATANJAJI NARIYAL BISCUITS 300GM,Patanjali,42826,30,,,,8.90235E+12,,,,,
I14464,PATANJAJI NARIYAL BISCUITS 300GM,Patanjali,42917,30,,,,8.90235E+12,,,,,
I01373,PATANJALI  AQUA FRESH SOAP 75GM,Patanjali,43374,24,,,,8.90411E+12,,,,,
I01373,PATANJALI  AQUA FRESH SOAP 75GM,Patanjali,43252,24,,,,8.90411E+12,,,,,
II3837,PATANJALI  DALIYA PUSHTAHAR,Patanjali,42856,40,,,,8.90411E+12,,,,,
,PATANJALI MADHURAM AGAR KONARK,Patanjali,,20,,,,8.90411E+12,,,,,
,PATANJALI MADHURAM AGAR ALKANANDA,Patanjali,,20,,,,8.90411E+12,,,,,
,PATANJALI MADHURAM AGAR MEDITATION,Patanjali,,20,,,,8.90411E+12,,,,,
,PATANJALI MADHURAM AGAR AMBER,Patanjali,,20,,,,8.90411E+12,,,,,
,PATANJALI MADHURAM AGAR VANGANDHA,Patanjali,,20,,,,8.90411E+12,,,,,
,PATANJALI MADHURAM AGAR OUDH,Patanjali,,20,,,,8.90411E+12,,,,,
,PATANJALI MADHURAM WHITE FLOWER,Patanjali,,20,,,,8.90411E+12,,,,,
,PATANJALI MADHURAM AGAR YAJNASUGNA,Patanjali,,20,,,,8.90411E+12,,,,,
,PATANJALI MADHURAM AGAR ROSE,Patanjali,,20,,,,8.90411E+12,,,,,
,PATANJALI MADHURAM AGAR LAVENDER,Patanjali,,20,,,,8.90411E+12,,,,,
I02204,PATANJALI  SPICES SABZI MASALA 100GM,Patanjali,43040,38,,,,8.90411E+12,,,,,
I02204,PATANJALI  SPICES SABZI MASALA 100GM,Patanjali,42979,38,,,,8.90411E+12,,,,,
I05325,PATANJALI AATA 5KG,Patanjali,43800,170,,,,8.90411E+12,,,,,
I14103,PATANJALI ACTIVE CARE BRUSH,Patanjali,43800,20,,,,8.90411E+12,,,,,
I17808,PATANJALI ADVANCE PASTE 50GM,Patanjali,43344,50,,,,8.90411E+12,,,,,
I14461,PATANJALI AJOWAN 100GMS,Patanjali,43435,38,,,,8.90411E+12,,,,,
II8888,PATANJALI ALMOND HAIR OIL,Patanjali,43374,50,,,,8.90411E+12,,,,,
II8868,PATANJALI ALMOND KESAR HAND WASH,Patanjali,42948,90,,,,8.90411E+12,,,,,
II8886,PATANJALI ALMOND KESAR KANTI SOAP 75GM,Patanjali,43191,19,,,,8.90411E+12,,,,,
92975,PATANJALI ALOEVERA GEL 60ML,Patanjali,43221,40,,,,8.90411E+12,,,,,
,PATANJALI ALOEVERA GEL 150ML,Patanjali,,80,,,,8.90411E+12,,,,,
I01306,PATANJALI ALOEVERA JUICE PLAIN,Patanjali,42856,180,,,,8.90411E+12,,,,,
I15732,PATANJALI ALOEVERA KANTI SOAP 150GM,Patanjali,43374,25,,,,8.90411E+12,,,,,
I15732,PATANJALI ALOEVERA KANTI SOAP 150GM,Patanjali,43374,25,,,,8.90411E+12,,,,,
344463,PATANJALI ALOEVERA MOISTURIZING CREAM,Patanjali,43405,75,,,,8.90411E+12,,,,,
I18660,PATANJALI AMLA ALOVERA JUICE WHEAT GRASS,Patanjali,43101,100,,,,8.90411E+12,,,,,
I16005,PATANJALI AMLA ALOVERA LITCHI 65ML,Patanjali,42826,5,,,,8.90411E+12,,,,,
,PATANJALI AMLA AMRIT 5ML,Patanjali,,5,,,,8.90411E+12,,,,,
III469,PATANJALI AMLA HAIR OIL 100ML,Patanjali,43374,40,,,,8.90411E+12,,,,,
I06817,PATANJALI AMLA PICKLE,Patanjali,43040,95,,,,8.90411E+12,,,,,
I06817,PATANJALI AMLA PICKLE,Patanjali,43132,95,,,,8.90411E+12,,,,,
,PATANJALI AMLA CANDY 500GM,Patanjali,,140,,,,8.90411E+12,,,,,
,PATANJALI AMRIT RASYAN 500 GM,Patanjali,,85,,,,8.90411E+12,,,,,
,PATANJALI AMLA CHATPATA 500GM,Patanjali,,145,,,,8.90411E+12,,,,,
,PATANJALI BEL CANDY 500 GM,Patanjali,,140,,,,8.90411E+12,,,,,
II3848,PATANJALI ANTI BACTIREA HAND WASH REFIL,Patanjali,43344,40,,,,8.90411E+12,,,,,
I01423,PATANJALI ANTI WRINK CREAM,Patanjali,43405,150,,,,8.90411E+12,,,,,
I14430,PATANJALI APPLE 1LTR,Patanjali,43800,85,,,,8.90411E+12,,,,,
I15796,PATANJALI APRICOT FACE SCRUB 60GM,Patanjali,43282,60,,,,8.90411E+12,,,,,
I15796,PATANJALI APRICOT FACE SCRUB 60GM,Patanjali,43800,60,,,,8.90411E+12,,,,,
17930,PATANJALI ARHAR DAL (TUVAR DAL),Patanjali,42917,124,,,,8.90411E+12,,,,,
44755,PATANJALI ARHAR DAL (TUVAR DAL) 500GM,Patanjali,42887,63,,,,8.90411E+12,,,,,
44755,PATANJALI ARHAR DAL (TUVAR DAL) 500GM,Patanjali,42887,63,,,,8.90411E+12,,,,,
II8874,PATANJALI ARJUN AMLA JUICE 500ML,Patanjali,42948,80,,,,8.90411E+12,,,,,
I02206,PATANJALI AROGYA BISCUITS,Patanjali,42917,10,,,,8.90235E+12,,,,,
I02137,PATANJALI ASHWAGANDHA CAP,Patanjali,43525,5,,,,8.90411E+12,,,,,
III432,PATANJALI ATTA NOODLES CLASSIC 60GM,Patanjali,43800,10,,,,8.90411E+12,,,,,
I01316,PATANJALI BADAM PAK 250GM,Patanjali,43647,130,,,,8.90411E+12,,,,,
I01316,PATANJALI BADAM PAK 250GM,Patanjali,43739,130,,,,8.90411E+12,,,,,
I14392,PATANJALI BADAM PAK 500GM,Patanjali,43647,250,,,,8.90411E+12,,,,,
I14392,PATANJALI BADAM PAK 500GM,Patanjali,43739,250,,,,8.90411E+12,,,,,
I18625,PATANJALI BADAM ROGAN 150ML,Patanjali,43435,365,,,,8.90405E+12,,,,,
I02239,PATANJALI BADAM ROGHAN 60ML,Patanjali,43556,150,,,,8.90405E+12,,,,,
II8881,PATANJALI BAL SHAVING CREAM.,Patanjali,43435,55,,,,8.90411E+12,,,,,
92045,PATANJALI BALM 10GM,Patanjali,43009,18,,,,8.90411E+12,,,,,
I01390,PATANJALI BALM 25GM,Patanjali,43435,40,,,,8.90411E+12,,,,,
I14080,PATANJALI BANDANI HING,Patanjali,43617,20,,,,8.90411E+12,,,,,
I14080,PATANJALI BANDANI HING,Patanjali,43160,20,,,,8.90411E+12,,,,,
I14080,PATANJALI BANDANI HING,Patanjali,43101,20,,,,8.90411E+12,,,,,
I14147,PATANJALI BANDHANI HING 25GM,Patanjali,43800,40,,,,8.90411E+12,,,,,
II8873,PATANJALI BARLEY DALIA,Patanjali,43800,30,,,,8.90411E+12,,,,,
I14917,PATANJALI BASMATI DIAMOND RICE 5 KG,Patanjali,43282,700,,,,8.90411E+12,,,,,
,PATANJALI 1121 DIAMOND RICE  1KG,Patanjali,,145,,,,8.90411E+12,,,,,
,PATANJALI SHAKTI XXLBASMATI RICE 5KG,Patanjali,,540,,,,8.90411E+12,,,,,
,PATANJALI BASMATI DHANASHREE 1KG,Patanjali,,100,,,,8.90411E+12,,,,,
I05322,PATANJALI BASMATI RICE GOLD 1KG,Patanjali,43800,110,,,,8.90411E+12,,,,,
I14504,PATANJALI BASMATI RICE GOLD 5KG,Patanjali,43282,510,,,,8.90411E+12,,,,,
,PATANJALI BESAN 500GM,Patanjali,,90,,,,8.90411E+12,,,,,
I01424,PATANJALI BEAUTY CREAM,Patanjali,43466,70,,,,8.90411E+12,,,,,
I06115,PATANJALI BODY UBTAN,Patanjali,43009,60,,,,8.90411E+12,,,,,
I06115,PATANJALI BODY UBTAN,Patanjali,43800,60,,,,8.90411E+12,,,,,
II8864,PATANJALI BORO SAFE CREAM,Patanjali,42917,40,,,,8.90411E+12,,,,,
II8864,PATANJALI BORO SAFE CREAM,Patanjali,42856,40,,,,8.90411E+12,,,,,
I02120,PATANJALI BRHAMI SHARBAT 750ML,Patanjali,43800,100,,,,8.90411E+12,,,,,
108865,PATANJALI BURA 1KG,Patanjali,43800,65,,,,8.90411E+12,,,,,
I18163,PATANJALI BUTTER COOKIES TIN 400GM,Patanjali,42917,200,,,,8.90411E+12,,,,,
I14727,PATANJALI CHANA DAL 1KG,Patanjali,43800,138,,,,8.90411E+12,,,,,
I14432,PATANJALI CHANA DAL 35GM,Patanjali,43252,10,,,,7.90416E+12,,,,,
CL0363,PATANJALI CHANA DAL 500GM,Patanjali,43800,74,,,,8.90411E+12,,,,,
II3845,PATANJALI CHANA MASALA,Patanjali,43009,45,,,,8.90411E+12,,,,,
I05333,PATANJALI CHAT MASALA,Patanjali,43800,36,,,,8.90411E+12,,,,,
I05333,PATANJALI CHAT MASALA,Patanjali,43009,36,,,,8.90411E+12,,,,,
II8895,PATANJALI CHOCO DELITE BISCUIT,Patanjali,42856,10,,,,8.90235E+12,,,,,
I17768,PATANJALI CHOCO FLAKES 30GM,Patanjali,43282,10,,,,8.90411E+12,,,,,
I13942,PATANJALI CHOCOFLAKES 125GM,Patanjali,43313,55,,,,8.90411E+12,,,,,
269643,PATANJALI CHYAWANPRASH 1KG,Patanjali,43617,190,,,,8.90411E+12,,,,,
,PATANJALI CHYAWANPRASH  SAFFRON 1KG,Patanjali,,250,,,,8.90602E+12,,,,,
I18371,PATANJALI CLASSIC NOODLES FAMILY PACK,Patanjali,43040,38,,,,8.90411E+12,,,,,
I15749,PATANJALI COCONUT 200GM JAR,Patanjali,43101,62,,,,8.90411E+12,,,,,
III467,PATANJALI COCONUT HAIR WASH 150ML,Patanjali,43617,95,,,,8.90411E+12,,,,,
I05140,PATANJALI COCONUT OIL 200ML,Patanjali,43101,65,,,,8.90411E+12,,,,,
I02126,PATANJALI CORIANDER POWDER,Patanjali,43009,30,,,,8.90411E+12,,,,,
I16441,PATANJALI CORIENDER POWDER 500GM,Patanjali,42856,115,,,,8.90411E+12,,,,,
II9595,PATANJALI CORN FLAKES MIX 250GM,Patanjali,42736,85,,,,8.90411E+12,,,,,
II9595,PATANJALI CORN FLAKES MIX 250GM,Patanjali,42948,85,,,,8.90411E+12,,,,,
I15020,PATANJALI CORN FLAKES MIX 500GM,Patanjali,43800,145,,,,8.90411E+12,,,,,
I15020,PATANJALI CORN FLAKES MIX 500GM,Patanjali,43800,145,,,,8.90411E+12,,,,,
I06864,PATANJALI COW'S GHEE 1KG,Patanjali,42979,530,,,,8.90411E+12,,,,,
I14485,PATANJALI COW'S GHEE 200GM,Patanjali,43435,125,,,,8.90411E+12,,,,,
III471,PATANJALI COW'S GHEE 500GM,Patanjali,43009,270,,,,8.90411E+12,,,,,
I01324,PATANJALI CRACK HEEL CREAM,Patanjali,43374,60,,,,8.90411E+12,,,,,
I14102,PATANJALI CURVY BRUSH,Patanjali,44531,15,,,,8.90411E+12,,,,,
I14102,PATANJALI CURVY BRUSH,Patanjali,45992,15,,,,8.90411E+12,,,,,
I14102,PATANJALI CURVY BRUSH,Patanjali,43191,15,,,,8.90411E+12,,,,,
132770,PATANJALI DAIRY WHITENER 200GMS,Patanjali,43009,65,,,,8.90411E+12,,,,,
I14155,PATANJALI DANT KANTHI MEDICATED GEL 100G,Patanjali,43191,45,,,,8.90411E+12,,,,,
I14099,PATANJALI DANT KANTI ADVANCE 100GM,Patanjali,43313,90,,,,8.90411E+12,,,,,
