 Code, Item,Brand,Exp.,MRP ,,Discount Price,Discount Percent,Barcode,Manufactureer,Small Image,Large Image,Short Description,Long Description
I17903,24MANTRA ORGANIC TULSI TEA - 50GM,,,90.000,,,,8904083514954,,,,,
I01283,AAROGYA BESAN,,,90.000,,,,8904109465161,,,,,
I01283,AAROGYA BESAN,,,90.000,,,,8904109465161,,,,,
I17269,ACV RAW WITH MOTHER 500ML,,,299.000,,,,641370275058,,,,,
I17270,ACV WITH GINGER&GARLIC&HONEY 500ML,,,800.000,,,,627354113264,,,,,
I17267,ACV WITH THE MOTHER 500ML,,,400.000,,,,641370275058,,,,,
I18334,ADIRA ORGANIC APPLE CIDER VINEGAR,,,499.000,,,,10816010000021    ,,,,,
I14272,AKSHAYA'S MULTANI MATTI AYURVEDIC SOAP1,,,45.000,,,,8908006414017,,,,,
I16968,AKSHAYA'S NEEM TULSI SOAP,,,45.000,,,,8908006414215,,,,,
I16964,AKSHAYA'S PANCHAGAVYA ALEOVERA SOAP,,,45.000,,,,8908006414239,,,,,
I16965,AKSHAYA'S PANCHAGAVYA AYURVEDIC SOAP,,,75.000,,,,8908006414024,,,,,
I16969,AKSHAYA'S PANCHAGAVYA HAIR OIL,,,130.000,,,,8908006414048,,,,,
I15513,ALL - IN - ONE (HALIDIRAM),,,35.000,,,,8904004402025    ,,,,,
I14791,ALL IN ONE (HALDIRAMS) 350GM,,,80.000,,,,8904004402063    ,,,,,
338927,ALMOND CHOCOLATE,,,3.000,,,,9556138000128,,,,,
I17370,ALOE VEDA  AC&LEMON FACE WASH 100ML,,,210.000,,,,8906040271474,,,,,
I17345,ALOE VEDA AVOCADO&CUCUMBER GEL 100GM,,,75.000,,,,8906040270064,,,,,
I17361,ALOE VEDA CITRUS SPLASH TALC PWDR 100GM,,,75.000,,,,8906040271665,,,,,
I17347,ALOE VEDA CITRUS&LEMON GRASS OIL 100GM,,,75.000,,,,8906040270125,,,,,
I17351,ALOE VEDA COCONUTOIL&LEMONGRASS 100GM,,,75.000,,,,8906040270170,,,,,
I17343,ALOE VEDA LAVENDER WITH TEATRE OIL 100GM,,,75.000,,,,8906040270040,,,,,
I17367,ALOE VEDA MILD NOURISHING SHAMPOO 200ML,,,150.000,,,,8906040270200,,,,,
I17349,ALOE VEDA SAFFRON 100GM,,,75.000,,,,8906040270613,,,,,
I17344,ALOE VEDA SANDALWOOD&CEDARWOOD OIL 100GM,,,75.000,,,,8906040270057,,,,,
I17360,ALOE VEDA STRAWBERRY LIP BALM 10GM,,,150.000,,,,8906040270422,,,,,
I17353,ALOEVEDA  ANTI DANDRUFF SHAMPOO 200ML,,,230.000,,,,8906040270224,,,,,
I17372,ALOEVEDA  AROMATICROSE TALCUM PWDR 100GM,,,75.000,,,,8906040271658,,,,,
I17369,ALOEVEDA  LAVENDER TEATREE OIL F/W 100ML,,,110.000,,,,8906040270293    ,,,,,
I17363,ALOEVEDA CHOCOLATEVANILA &ALOE B/W 300ML,,,180.000,,,,8906040270644,,,,,
344918,ALOEVERA JUICE.,,,320.000,,,,8906042870224,,,,,
I14191,ALOEVERA VIT-E CREAM,,,90.000,,,,8906038782821,,,,,
I14759,ALOO BHUJIA (HALDIRAMS) 150GM,,,35.000,,,,8904004400762,,,,,
I14765,ALOO BHUJIA (HALDIRAMS) 1KG,,,190.000,,,,8904004400755    ,,,,,
